_id,vocabulary,type,pronunciation,meaning,__v
6669abcadeb9c3c8f02d4608,Craft,n,/kræft/,thủ công,0
6669abcadeb9c3c8f02d4609,Arts,n,/ɑːrts/,"mỹ thuật, nghệ thuật",0
6669abcadeb9c3c8f02d460a,Music,n,/ˈmjuːzɪk/,âm nhạc,0
6669abcadeb9c3c8f02d460b,Engineering,n,/ˌendʒɪˈnɪrɪŋ/,kỹ thuật,0
6669abcadeb9c3c8f02d460c,Medicine,n,/ˈmedɪsn/,y học,0
6669abcadeb9c3c8f02d460d,Science,n,/ˈsaɪəns/,khoa học,0
6669abcadeb9c3c8f02d460e,Astronomy,n,/əˈstrɑːnəmi/,thiên văn học,0
6669abcadeb9c3c8f02d460f,Philosophy,n,/fəˈlɑːsəfi/,triết học,0
6669abcadeb9c3c8f02d4610,Psychology,n,/saɪˈkɑːlədʒi/,tâm lý học,0
6669abcadeb9c3c8f02d4611,Economics,n,/ˌiːkəˈnɑːmɪks/,kinh tế học,0
6669abcadeb9c3c8f02d4612,line,n,/laɪn/,đường thẳng,0
6669abcadeb9c3c8f02d4613,circle,n,/ˈsɝː.kəl/,hình tròn,0
6669abcadeb9c3c8f02d4614,triangle,n,/ˈtraɪ.æŋ.ɡəl/,hình tam giác,0
6669abcadeb9c3c8f02d4615,rectangle,n,/ˈrek.tæŋ.ɡəl/,hình chữ nhật,0
6669abcadeb9c3c8f02d4616,square,n,/skwer/,hình vuông,0
6669abcadeb9c3c8f02d4617,trapezoid,n,/ˈtræp.ɪ.zɔɪd/,hình thang,0
6669abcadeb9c3c8f02d4618,heart,n,/hɑːrt/,hình trái tim,0
6669abcadeb9c3c8f02d4619,star,n,/stɑːr/,hình ngôi sao,0
6669abcadeb9c3c8f02d461a,diamond,n,/ˈdaɪ.mənd/,hình kim cương,0
6669abcadeb9c3c8f02d461b,ellipse,n,/iˈlɪps/,hình Elip,0
6669abcadeb9c3c8f02d461c,oval,n,/ˈoʊ.vəl/,"hình trái xoan, hình bầu dục",0
6669abcadeb9c3c8f02d461d,curve,n,/wedʒ/,đường cong,0
6669abcadeb9c3c8f02d461e,arrow,n,/ˈer.oʊ/,hình mũi tên,0
6669abcadeb9c3c8f02d461f,cross,n,/krɑːs/,hình chữ thập,0
6669abcadeb9c3c8f02d4620,crescent,n,/ˈkres.ənt/,hình lưỡi liềm,0
6669abcadeb9c3c8f02d4621,cone,n,/koʊn/,hình nón,0
6669abcadeb9c3c8f02d4622,cube,n,/kjuːb/,hình lập phương,0
