_id,vocabulary,type,pronunciation,meaning,__v
6669abe4deb9c3c8f02d4736,martial arts,n,/ˌmɑːrʃl ˈɑːrt/,võ thuật,0
6669abe4deb9c3c8f02d4737,archery,n,/ˈɑːrtʃəri/,bắn cung,0
6669abe4deb9c3c8f02d4738,cycling,n,/ˈsaɪklɪŋ/,đua xe đạp,0
6669abe4deb9c3c8f02d4739,boxing,n,/ˈbɑːksɪŋ/,quyền anh,0
6669abe4deb9c3c8f02d473a,diving,n,/ˈdaɪvɪŋ/,"nhảy cầu, lặn",0
6669abe4deb9c3c8f02d473b,skiing,n,/ˈskiːɪŋ/,trượt tuyết,0
6669abe4deb9c3c8f02d473c,figure skating,n,/ˈfɪɡjər skeɪtɪŋ/,trượt băng nghệ thuật,0
6669abe4deb9c3c8f02d473d,skateboarding,n,/ˈskeɪtbɔːrdɪŋ/,trượt ván,0
6669abe4deb9c3c8f02d473e,billiards,n,/ˈbɪljərdz/,bi-a,0
6669abe4deb9c3c8f02d473f,weightlifting,n,/ˈweɪtlɪftɪŋ/,cử tạ,0
6669abe4deb9c3c8f02d4740,travel,v,/ˈtræv.əl/,đi du lịch,0
6669abe4deb9c3c8f02d4741,depart,v,/dɪˈpɑːrt/,khởi hành,0
6669abe4deb9c3c8f02d4742,leave,v,/liːv/,rời đi,0
6669abe4deb9c3c8f02d4743,arrive,v,/əˈraɪv/,đến nơi,0
6669abe4deb9c3c8f02d4744,airport,n,/ˈer.pɔːrt/,sân bay,0
6669abe4deb9c3c8f02d4745,take off,v,/ˈteɪk ɔːf/,cất cánh,0
6669abe4deb9c3c8f02d4746,land,v,/lænd/,hạ cánh,0
6669abe4deb9c3c8f02d4747,check in,v,/ˈtʃek ɪn/,đăng ký phòng ở khách sạn,0
6669abe4deb9c3c8f02d4748,check out,v,/ˈtʃek aʊt/,trả phòng khách sạn,0
6669abe4deb9c3c8f02d4749,visit,v,/ˈvɪz.ɪt/,thăm viếng,0
6669abe4deb9c3c8f02d474a,destination,n,/ˌdes.təˈneɪ.ʃən/,điểm đến,0
6669abe4deb9c3c8f02d474b,passenger,n,/ˈpæs.ən.dʒɚ/,hành khách,0
6669abe4deb9c3c8f02d474c,tourist,n,/ˈtʊrɪst/,khách du lịch,0
6669abe4deb9c3c8f02d474d,cruise,n,/kruːz/,chuyến đi chơi trên biển,0
6669abe4deb9c3c8f02d474e,route,n,/ruːt/ /raʊt/,lộ trình,0
6669abe4deb9c3c8f02d474f,tour,n,/tʊr/,chuyến đi du lịch,0
6669abe4deb9c3c8f02d4750,trip,n,/trɪp/,"cuộc du ngoạn, dạo chơi",0
6669abe4deb9c3c8f02d4751,journey,n,/ˈdʒɝː.ni/,hành trình,0
6669abe4deb9c3c8f02d4752,passport,n,/ˈpæspɔːrt/,hộ chiếu,0
6669abe4deb9c3c8f02d4753,ticket,n,/ˈtɪkɪt/,vé,0
6669abe4deb9c3c8f02d4754,visa,n,/ˈviːzə/,thị thực,0
6669abe4deb9c3c8f02d4755,luggage,n,/ˈlʌɡɪdʒ/,hành lý,0
