_id,name,mean,use_1,use_2,use_3,use_4,use_5,use_6,classification_1,classification_2,classification_3,classification_4,classification_5,classification_6,structure_1,structure_2,structure_3,structure_4,structure_5,structure_6,structure_7,example_1,example_2,example_3,example_4,example_5,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,__v
66696f3f84e200443dd144ba,Câu đơn,"là một câu chỉ có một mệnh đề độc lập,có chủ ngữ và vị ngữ.",,,,,,,,,,,,,Mệnh đề độc lập: S + V + O.,,,,,,,I love ice cream.,,,,,,,,,,,0
66696f3f84e200443dd144bb,Câu ghép,"là một câu gồm hai hoặc nhiều mệnh đề độc lập, được kết nối với nhau bằng liên từ  hoặc dấu chấm phẩy "";"".",,,,,,,,,,,,,Mệnh đề độc lập + Liên từ kết hợp/ Dấu chấm phẩy + Mệnh đề độc lập.,,,,,,,"I love ice cream, but I don't like chocolate.",,,,,,,,,,,0
66696f3f84e200443dd144bc,Câu phức,là một câu có một mệnh đề độc lập và ít nhất một mệnh đề phụ thuộc.,,,,,,,,,,,,,Mệnh đề độc lập + (Liên từ phụ thuộc) + Mệnh đề phụ thuộc.,,,,,,,"Although I love ice cream, I don't eat it every day.",,,,,,,,,,,0
66696f3f84e200443dd144bd,Câu phức hợp,"là câu kết hợp giữa câu ghép và câu phức, có ít nhất hai mệnh đề độc lập và ít nhất một mệnh đề phụ thuộc.",,,,,,,,,,,,,Mệnh đề độc lập + Liên từ kết hợp + Mệnh đề độc lập + (Liên từ phụ thuộc) + Mệnh đề phụ thuộc.,,,,,,,"Although I love ice cream, I don't eat it every day, and my brother doesn't like it at all.",,,,,,,,,,,0
66696f3f84e200443dd144be,Câu trần thuật,"là câu dùng để truyền tải thông tin, đưa ra một tuyên bố hoặc kể về một sự việc nào đó. Loại câu này có thể ở dạng khẳng định và phủ định.",,,,,,,,,,,,,S+V+O.,,,,,,,I enjoy reading books in my free time.,,,,,,,,,,,0
66696f3f84e200443dd144bf,Câu nghi vấn,"là câu dùng để đưa ra một câu hỏi. Loại câu này thường bắt đầu bằng từ để hỏi và kết thúc bằng dấu hỏi chấm ""?"".",,,,,,,"Câu hỏi có - không: là câu hỏi cần trả lời ""Yes"" hoặc ""No"", thường bắt đầu bằng một trợ động từ.","Câu hỏi Wh: là câu hỏi để biết, thu thập thông tin, bắt đầu bằng các từ để hỏi như: Who, What, Where, Which, When, Why, How…","Câu hỏi đuôi: là câu hỏi ngắn ở cuối câu trần thuật hoặc mệnh lệnh, dùng để làm rõ hoặc xác nhận lại thông tin; có 2 dạng là khẳng định và phủ định.",Câu hỏi trần thuật: là câu hỏi dùng để bày tỏ sự ngạc nhiên hoặc xác nhận lại thông tin.,,,Trợ động từ + S + V + O?,Wh- + Trợ động từ + S + V ?,"S + V + O, Trợ động từ +not + Đại từ?",V + S + O?,,,,Did you finish your homework?,What did she say?,"She is a doctor, isn't she?",Are you coming to the party?,,,,,,,,0
66696f3f84e200443dd144c0,Câu mệnh lệnh,"là câu dùng để đưa ra một yêu cầu, mệnh lệnh, lời cảnh báo hoặc chỉ dẫn. Loại câu này có thể kết thúc bằng dấu chấm than ""!"" nếu mang ý nhấn mạnh hoặc dấu chấm ""."".",,,,,,,,,,,,,,,,,,,,Go to your room right now!,,,,,,,,,,,0
66696f3f84e200443dd144c1,Câu cảm thán,"là câu được sử dụng để diễn đạt cảm xúc hay thái độ của một người trước một người/ sự vật/ sự việc. Loại câu này thường kết thúc bằng dấu chấm than ""!"". ",,,,,,,Câu cảm thán với “how” .,Câu cảm thán với “what” .,,,,,What + (a/ an) + adj/ adv + N!,How + adj/ adv + N + to be!,,,,,,What an interesting book!,How exciting it is to see them again!,,,,,,,,,,0
