_id,vocabulary,type,pronunciation,meaning,__v
6669ab7fdeb9c3c8f02d44c6,yogurt,n,/ˈjoʊ.ɡɚt/,sữa chua,0
6669ab7fdeb9c3c8f02d44c7,ice cream,n,/ˈaɪs ˌkriːm/,kem,0
6669ab7fdeb9c3c8f02d44c8,bean,n,/biːn/,hạt đậu,0
6669ab7fdeb9c3c8f02d44c9,pea,n,/piː/,đậu Hà Lan,0
6669ab7fdeb9c3c8f02d44ca,cabbage,n,/ˈkæb.ɪdʒ/,bắp cải,0
6669ab7fdeb9c3c8f02d44cb,carrot,n,/ˈker.ət/,củ cà rốt,0
6669ab7fdeb9c3c8f02d44cc,corn,n,/kɔːrn/,"ngô, bắp",0
6669ab7fdeb9c3c8f02d44cd,cucumber,n,/ˈkjuː.kʌm.bɚ/,dưa chuột,0
6669ab7fdeb9c3c8f02d44ce,tomato,n,/təˈmeɪ.t̬oʊ/,quả cà chua,0
6669ab7fdeb9c3c8f02d44cf,garlic,n,/ˈɡɑːr.lɪk/,tỏi,0
6669ab7fdeb9c3c8f02d44d0,onion,n,/ˈʌn.jən/,củ hành,0
6669ab7fdeb9c3c8f02d44d1,spring onion,n,/ˌsprɪŋ ˈʌn.jən/,hành lá,0
6669ab7fdeb9c3c8f02d44d2,ginger,n,/ˈdʒɪn.dʒɚ/,củ gừng,0
6669ab7fdeb9c3c8f02d44d3,turmeric,n,/ˈtɜːrmərɪk/,củ nghệ,0
6669ab7fdeb9c3c8f02d44d4,potato,n,/pəˈteɪ.t̬oʊ/,khoai tây,0
6669ab7fdeb9c3c8f02d44d5,sweet potato,n,/ˌswiːt pəˈteɪ.t̬oʊ/,khoai lang,0
6669ab7fdeb9c3c8f02d44d6,pumpkin,n,/ˈpʌmp.kɪn/,"bí ngô, bí đỏ",0
6669ab7fdeb9c3c8f02d44d7,asparagus,n,/əˈsper.ə.ɡəs/,măng tây,0
6669ab7fdeb9c3c8f02d44d8,turnip,n,/ˈtɝː.nɪp/,củ cải trắng,0
6669ab7fdeb9c3c8f02d44d9,beet,n,/biːt/,"củ cải đường, củ dền",0
6669ab7fdeb9c3c8f02d44da,cauliflower,n,/ˈkɑː.ləˌflaʊ.ɚ/,súp lơ,0
6669ab7fdeb9c3c8f02d44db,broccoli,n,/ˈbrɑː.kəl.i/,bông cải xanh,0
6669ab7fdeb9c3c8f02d44dc,eggplant,n,/ˈeɡ.plænt/,cà tím,0
6669ab7fdeb9c3c8f02d44dd,celery,n,/ˈsel.ɚ.i/,cần tây,0
6669ab7fdeb9c3c8f02d44de,leek,n,/liːk/,tỏi tây,0
6669ab7fdeb9c3c8f02d44df,lettuce,n,/ˈlet̬.ɪs/,rau diếp,0
6669ab7fdeb9c3c8f02d44e0,mushroom,n,/ˈmʌʃ.ruːm/,nấm,0
6669ab7fdeb9c3c8f02d44e1,chili (pepper),n,/ˈtʃɪl·i (ˌpep·ər)/,ớt cay,0
6669ab7fdeb9c3c8f02d44e2,bell pepper,n,/ˈbel pepər/,ớt chuông,0
6669ab7fdeb9c3c8f02d44e3,spinach,n,/ˈspɪn.ɪtʃ/,rau chân vịt (bina),0
6669ab7fdeb9c3c8f02d44e4,herb,n,/hɜːb/,rau thơm (nói chung),0
